"Region","Year","Electricity","Investment","Consumption","Population","gdpPercap"
"河南",2007,1808,8010.11,5141,9360,15838.141025641
"黑龙江",2007,628.94,2833.5,6037,3824,16020.6589958159
"湖北",2007,989.23,4330.36,6513,5699,16584.313037375
"湖南",2007,890.58,4154.76,6254,6355,14611.3296616837
"吉林",2007,462.64,3651.36,6675,2730,14946.1538461538
"江苏",2007,2952.02,12268.06,9530,7723,33650.653890975
"江西",2007,511.09,3301.94,4676,4368,13227.1062271062
"辽宁",2007,1359.51,7435.23,7934,4298,23946.4867380177
"内蒙古",2007,1160.21,4372.88,7062,2429,21271.7167558666
"宁夏",2007,439.78,599.8,5743,610,14386.8852459016
"青海",2007,285.44,482.84,4978,552,13045.2898550725
"山东",2007,2596.05,12537.7,8142,9367,24253.3361802071
"山西",2007,1348.81,2861.46,5693,3393,17493.6634246979
"陕西",2007,653.69,3415.02,5480,3708,15323.0852211435
"上海",2007,1072.38,4420.37,22889,2064,62396.8023255814
"四川",2007,1177.51,5639.8,5259,8127,12996.3086009598
"天津",2007,494.91,2353.15,12034,1115,37295.067264574
"西藏",2007,15,270.34,3166,289,11906.5743944637
"新疆",2007,413.32,1850.84,4831,2095,16706.4439140811
"云南",2007,745.52,2759.03,4658,4514,11248.1169694284
"浙江",2007,2189.37,8420.43,12730,5155,36159.0688651794
"重庆",2007,449.22,3127.74,6453,2816,16941.40625
"安徽",2008,858.88,6746.96,6006,6135,15513.7734311328
"北京",2008,689.72,3814.73,20113,1771,66702.9926595144
"福建",2008,1073.55,5207.68,10645,3639,30040.6705138774
"甘肃",2008,677.76,1712.78,4947,2551,12041.1603292826
"广东",2008,3504.82,10868.67,13911,9893,37101.1826544021
"广西",2008,753.39,3756.41,6152,4816,13404.0697674419
"贵州",2008,679.18,1864.45,4880,3596,9745.55061179088
"海南",2008,121.72,705.42,6134,854,17268.149882904
"河北",2008,2095.02,8866.56,6498,6989,20317.7850908571
"河南",2008,1970.77,10490.64,5877,9429,18809.9480326652
"黑龙江",2008,669.9,3655.97,7135,3825,18651.5032679739
"湖北",2008,1058.53,5647.01,7399,5711,20132.201015584
"湖南",2008,904.95,5534.04,7152,6380,17723.197492163
"吉林",2008,496.49,5038.92,7629,2734,17683.6137527432
"江苏",2008,3118.32,15300.55,10882,7762,39867.9464055656
"江西",2008,545.88,4745.43,5805,4400,15759.5454545455
"辽宁",2008,1412,10019.07,9690,4315,28129.0845886443
"内蒙古",2008,1220.57,5475.41,8354,2444,25541.7348608838
"宁夏",2008,439.62,828.85,7108,618,18433.6569579288
"青海",2008,313.23,583.24,5830,554,16189.5306859206
"山东",2008,2726.97,15435.93,9673,9417,28784.3262185409
"山西",2008,1314.33,3531.16,6519,3411,21175.6083260041
"陕西",2008,708.03,4614.42,6483,3718,19305.5406132329
"上海",2008,1138.22,4823.15,25167,2141,67897.7113498365
"四川",2008,1210.13,7127.81,6072,8138,15674.8586876382
"天津",2008,515.88,3389.79,14150,1176,44068.0272108844
"西藏",2008,16,309.91,3460,292,13636.9863013699
"新疆",2008,479.37,2259.97,5521,2131,19439.230408259
"云南",2008,829.44,3435.93,5465,4543,13243.6715826546
"浙江",2008,2322.87,9323,14264,5212,40837.6822716807
"重庆",2008,484.41,3979.59,7637,2839,20780.2042972878
"安徽",2009,952.31,8990.73,6829,6131,17720.9264394063
"北京",2009,739.15,4616.92,22023,1860,69359.6774193548
"福建",2009,1134.92,6231.2,11336,3666,33873.7043098745
"甘肃",2009,705.51,2363,5509,2555,12791.7808219178
"广东",2009,3609.64,12933.12,15243,10130,38958.2428430405
"广西",2009,856.35,5237.24,6968,4856,14647.6523887974
"贵州",2009,750.3,2412.02,5456,3537,10903.8733389878
"海南",2009,133.77,988.32,6695,864,18753.4722222222
"河北",2009,2343.85,12269.8,7193,7034,21761.3022462326
"河南",2009,2081.38,13704.5,6607,9487,20218.1933171709
"黑龙江",2009,688.67,5028.83,7922,3826,18868.0083638265
"湖北",2009,1135.13,7866.89,7791,5720,23063.1118881119
"湖南",2009,1010.57,7703.38,7929,6406,19938.8073680924
"吉林",2009,515.25,6411.6,8538,2740,19835.0364963504
"江苏",2009,3313.99,18949.87,11993,7810,44137.900128041
"江西",2009,609.22,6643.14,6212,4432,17215.7039711191
"辽宁",2009,1488.17,12292.49,10906,4341,29522.4602626123
"内蒙古",2009,1287.93,7336.79,9460,2458,28902.3596419854
"宁夏",2009,462.96,1075.91,7918,625,20267.2
